Comment,Designator

"IMP706CSA","ADM"
"TLV320AIC23BIPW","AIC1"
"10nF","C1, C2, C8, C9, C32, C72, C98, C99, C106"
"10uF","C3, C12, C14, C18, C22, C70, C82, C88"
"47pF","C4, C5, C20"
"22pF","C6"
"24pF","C7"
"100nF","C10, C11, C13, C15, C16, C17, C21, C27, C31, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C74, C75, C76, C77, C78, C79, C80, C81, C93, C94, C95, C96, C97, C104, C113"
"1uF","C19, C84, C85, C89, C90, C111"
"470nF","C23, C24, C28, C29"
"Cap Pol3","C25"
"220uF","C26"
"1uF","C30"
"4.7uF","C56, C57, C83, C86, C92, C103, C112"
"22uF","C69, C73, C87"
"1onF","C71"
"470uF","C91"
"4.7nF","C100, C107"
"2.2nF","C101, C108, C109"
"47uF","C102"
"22nF","C105"
"1nF","C110"
"6.2V","D1"
"Green","D3"
"12V","D4"
"LED green","D5"
"Yellow","D6, D7"
"EEPROM-25f1024","E1"
"EPCS4SI8N","EPCS1"
"Fuse 3A","F1"
"50","FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9, FB10, FB11, FB12, FB13, FB15, FB16"
"Ferrite Bead","FB14"
"4-1437106-8","J1"
"JTAG Header","J2"
"Microphone In","J3"
"Line In","J4"
"Head Phone Out","J5"
"Line Out","J6"
"Power Jack","J7"
"D Connector 9","J8"
"Header 5X2","JTAG_FPGA1"
"SP233ACT","MAX1"
"Header 9X2","P1"
"Header 9","P2"
"1.5k","R1, R59, R145"
"300k","R2"
"24","R3, R4"
"10","R5"
"680k","R6"
"1M","R7, R8, R9"
"3.3k","R10, R11"
"10k","R12, R13, R14, R15, R16, R17, R24, R30, R32, R40, R41, R46, R47, R48, R50, R51, R52, R53, R54, R110, R112, R116, R117, R118"
"1k","R18, R19, R20, R21, R60, R66, R115, R146"
"33","R22, R23, R25, R27, R29, R31, R33, R35, R36, R38, R39, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99, R100, R101, R102, R103, R104, R105, R106, R107, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144"
"2.2k","R26"
"4.7k","R28, R34, R37, R42, R43, R58"
"47k","R44, R45, R56, R57, R61, R62"
"100","R49, R55, R64"
"240","R63, R69, R70"
"200","R65"
"120","R67"
"360","R68"
"330","R108, R109, R111"
"25","R113, R114, R119"
"FAN1086","REG 1"
"FAN1112","REG 2"
"LM317MDTRK","REG 3, REG 5"
"LD1085CDT","REG 4"
"LED RED","RESET"
"SW DIP-4","S1"
"SW-PB","S2"
"SW-SPST","S3"
"TMS320VC5509APGE","U1"
"EP3C5E144C8N","U2"
"MicroSD","USD1"
"12SMXB","Y1"
